"case_id","family","structure","n_theta","n_obs","balance","regime","status","glmm_status","mm_status","n_eval_glmm","n_eval_mm","eval_ratio","dev_glmm","dev_mm","wall_glmm","wall_mm","per_eval_glmm","per_eval_mm"
"binb_nest2s_g3000p100_bal_rare","binomial","nest2s",4,3000,"bal","rare","ok","ok","engine-fail",236,0,NA,762.368014257216,NA,0.209497222,0,0.000887700093220339,0
"binb_nest2s_g3000p100_bal_nearzero","binomial","nest2s",4,3000,"bal","nearzero","ok","ok","engine-fail",120,0,NA,3685.44276169341,NA,0.118542616,0,0.000987855133333333,0
"bina_nest2s_g3000p100_bal_base","binomial","nest2s",4,3000,"bal","base","ok","ok","engine-fail",120,0,NA,3593.20991789789,NA,0.253920716,0,0.00211600596666667,0
"pois_nest2s_g3000p100_bal_base","poisson","nest2s",4,3000,"bal","base","ok","ok","engine-fail",241,0,NA,3571.74118428477,NA,0.377277413,0,0.0015654664439834,0
"binb_cross6_g300p20_bal_base","binomial","cross6",6,300,"bal","base","ok","ok","ok",157,131,1.19847328244275,363.877606926907,363.877606927225,0.056865386,0.066564114,0.000362199910828025,0.000508123007633588
"bina_cross6_g300p20_bal_base","binomial","cross6",6,300,"bal","base","ok","ok","ok",209,170,1.22941176470588,463.774217966958,463.774218774584,0.099810085,0.105357757,0.000477560215311005,0.000619751511764706
"pois_cross6_g300p20_bal_base","poisson","cross6",6,300,"bal","base","ok","ok","ok",244,235,1.03829787234043,498.974548187103,498.974548191795,0.112511741,0.1959333,0.000461113692622951,0.000833758723404255
"binb_cross6_g3000p20_bal_base","binomial","cross6",6,3000,"bal","base","ok","ok","ok",151,101,1.4950495049505,3673.13547849724,3673.13547866643,1.758213695,0.46172183,0.0116437993046358,0.00457150326732673
"bina_cross6_g3000p20_bal_base","binomial","cross6",6,3000,"bal","base","ok","ok","ok",256,164,1.5609756097561,4195.81910069934,4195.81910073164,2.819888911,1.298488982,0.0110151910585938,0.00791761574390244
"pois_cross6_g3000p20_bal_base","poisson","cross6",6,3000,"bal","base","ok","ok","ok",261,231,1.12987012987013,3989.1330179036,3989.1330179671,2.748825622,1.881450699,0.0105318989348659,0.00814480822077922
"pois_cross6_g3000p20_skew_base","poisson","cross6",6,3000,"skew","base","ok","ok","ok",273,239,1.14225941422594,3809.36690505989,3809.36690510433,2.365612568,1.946668107,0.0086652475018315,0.00814505484100418
"pois_cross6_g3000p20_bal_lowmu","poisson","cross6",6,3000,"bal","lowmu","ok","ok","ok",252,178,1.41573033707865,3595.66011177006,3595.6601117733,2.692924563,1.437367436,0.0106862085833333,0.00807509795505618
"pois_cross6_g3000p20_bal_nearzero","poisson","cross6",6,3000,"bal","nearzero","ok","ok","ok",294,360,0.816666666666667,3524.98990817761,3524.98990835885,2.852085404,2.490312793,0.00970097076190476,0.00691753553611111
"binb_cross6_g3000p100_bal_base","binomial","cross6",6,3000,"bal","base","ok","ok","ok",182,124,1.46774193548387,3375.51249370435,3375.51249370799,0.751197427,0.351273038,0.00412745839010989,0.00283284708064516
"binb_cross6_g3000p100_skew_base","binomial","cross6",6,3000,"skew","base","ok","ok","ok",179,144,1.24305555555556,3323.2930639849,3323.29306398625,0.695924099,0.402286581,0.00388784412849162,0.0027936568125
"binb_cross6_g3000p100_bal_rare","binomial","cross6",6,3000,"bal","rare","ok","ok","ok",157,119,1.31932773109244,794.915222991762,794.91522299701,0.685640628,0.385268303,0.00436713775796178,0.00323754876470588
"binb_cross6_g3000p100_bal_nearzero","binomial","cross6",6,3000,"bal","nearzero","ok","ok","ok",171,141,1.21276595744681,3613.23849688889,3613.23849690038,0.711818899,0.34176833,0.00416268361988304,0.00242388886524823
"bina_cross6_g3000p100_bal_base","binomial","cross6",6,3000,"bal","base","ok","ok","ok",336,346,0.971098265895954,3626.56196441706,3626.56196466608,1.508958839,1.074264122,0.00449094892559524,0.00310480960115607
"bina_cross6_g3000p100_skew_base","binomial","cross6",6,3000,"skew","base","ok","ok","ok",415,199,2.08542713567839,3703.92849025586,3703.92849027165,1.640267649,0.625457539,0.00395245216626506,0.00314300270854271
"bina_cross6_g3000p100_bal_rare","binomial","cross6",6,3000,"bal","rare","ok","ok","ok",214,210,1.01904761904762,2474.87979293738,2474.87979294685,1.028987894,0.795432775,0.00480835464485981,0.00378777511904762
"bina_cross6_g3000p100_bal_nearzero","binomial","cross6",6,3000,"bal","nearzero","ok","ok","ok",389,266,1.46240601503759,3645.11718892245,3645.11718933054,1.610154814,0.716684662,0.00413921546015424,0.0026943032406015
"pois_cross6_g3000p100_bal_base","poisson","cross6",6,3000,"bal","base","ok","ok","ok",259,226,1.14601769911504,3280.42768020371,3280.42768055595,1.128742036,1.010812154,0.00435807735907336,0.00447262015044248
